,0,1,2,3,4,5,6,7
0,0.14937897,0.9752361,0.088547945,0.11977866,0.008405027,0.06583469,0.002754825,0.0005340987
1,0.5362857,0.70770335,0.3911306,0.238785,0.030453738,0.024993598,0.0,0.0
2,0.04965745,0.9662398,0.18899396,0.16791554,8.2123675e-05,0.0006569894,0.0,0.0
3,0.03997842,0.70416844,0.26513463,0.655306,0.04945247,0.011417448,0.015824791,0.0
4,0.0036833913,0.9521428,0.0665226,0.29037863,0.002603299,0.06796272,0.0063143848,0.0
5,0.038898364,0.29017177,0.8888997,0.35234025,0.00012527654,0.0010335314,0.0,0.0
6,0.085719764,0.9903646,0.09034396,0.060409684,0.0021399197,0.0020169357,0.003172984,0.0
7,0.20287459,0.1070021,0.9538757,0.19358529,0.0024829863,0.0056670513,0.00023369283,0.0
8,0.017374478,0.49520257,0.8612948,0.11170591,0.0041339276,0.012132178,0.0011682839,5.9911992e-05
9,0.07815692,0.2606787,0.94897324,0.15896966,0.008580334,0.0055742986,0.0034438074,0.0
10,0.03748302,0.3271812,0.8328249,0.44491002,0.00013117418,0.000721458,0.0021971676,0.0
11,0.009291098,0.28733945,0.5672786,0.7717154,0.0,0.0,0.00013040139,0.0
12,0.20144637,0.3266058,0.5969028,0.7041929,0.02356682,0.00014798631,0.0034776784,0.0
13,0.49954346,0.6939828,0.49359694,0.15498301,0.0,0.034444824,0.0,0.0
14,0.09782045,0.9192865,0.1595761,0.34618556,0.0022883762,0.005400568,0.00039665189,0.0
15,0.06307297,0.22034651,0.040413126,0.97234195,0.017911563,0.007992936,0.0015300009,0.0
16,0.023602493,0.032017294,0.051284112,0.17907108,0.015982991,0.9815558,0.003745613,0.0
17,0.16129966,0.076036386,0.928054,0.12630583,0.13232039,0.018590469,0.27038196,0.0017086827
18,0.027925031,0.023178041,0.33303186,0.9422112,0.0031293007,0.0009812214,0.00018563648,0.0
19,0.1797514,0.96965766,0.122771196,0.11125363,0.000414301,0.00027620065,0.0017400641,0.0
20,0.7101626,0.43770602,0.054539084,0.30486155,0.45490375,0.035072215,0.0002388573,0.0
21,0.22393508,0.8662967,0.43183973,0.11345608,0.0009814539,0.004939985,6.5430264e-05,0.0
22,0.43264207,0.19618507,0.6319019,0.6123659,0.005924549,0.002287326,0.00014998858,0.0
23,0.056754507,0.99242306,0.08976777,0.05924331,0.008296016,0.015225628,0.0025864048,0.0
24,0.0068521425,0.015395818,0.705484,0.70852304,0.0018062133,0.0,0.0004873909,0.0
25,0.13717763,0.8427777,0.24053937,0.4615683,0.001276071,0.0014103942,0.00020148489,0.0
26,0.009403805,0.2915506,0.5659915,0.77107936,3.26521e-05,0.0,0.0002938689,0.0
27,0.00959971,0.02061199,0.7092831,0.70455533,0.0012972582,0.00034593552,0.00069187104,8.648388e-05
28,0.10566337,0.9761412,0.13725625,0.13048051,0.008408442,0.0069390056,0.00048981217,0.0
29,0.051915627,0.98067516,0.10099663,0.15787286,0.021049714,0.0036220206,0.0008136423,0.0
30,0.060251854,0.32693067,0.38817242,0.8594304,0.006038384,0.011977779,0.002804714,3.2996635e-05
31,0.19778468,0.92915976,0.22085308,0.21608366,0.040166903,0.0024658195,0.021348806,9.733498e-05
32,0.21047416,0.680648,0.21058188,0.6686558,0.0,0.031201305,0.0,0.0
33,0.14695527,0.9653264,0.0044816523,0.21546818,0.007326294,0.006977423,0.0,0.0
34,0.02700799,0.9911956,0.036303423,0.11740058,0.010027356,0.039938644,0.0022933614,0.0
35,0.013791299,0.47351125,0.8712152,0.12833986,0.004098499,0.009632968,0.00047865682,0.0
36,0.26780477,0.6707783,0.6809437,0.121048175,3.4694232e-05,0.0002081654,0.0,0.0
37,0.08275838,0.28009772,0.059375856,0.3137922,0.010344798,0.9014424,0.0,0.0
38,0.0148772895,0.021341544,0.16757151,0.9855135,0.0024003296,0.00047531276,0.00028518768,0.0
39,0.012343761,0.29793638,0.38742864,0.8720485,0.0035949613,0.022333298,0.0004453934,0.00015906908
40,0.043801315,0.3999997,0.5564223,0.70899874,0.16056748,0.003846151,0.0,0.0
41,0.07630016,0.32529032,0.8242514,0.4570569,0.0025703956,0.0058848527,0.005648106,0.0
42,0.58135647,0.75023013,0.09521193,0.1931464,0.09379315,0.20978835,0.0004984918,0.0
43,0.06611477,0.39721084,0.55614394,0.7270187,0.0003481557,6.963114e-05,0.0,0.0
44,0.45211428,0.6552018,0.50052047,0.33435428,0.05524044,0.030612748,0.0010514286,0.0
45,0.6095893,0.48185328,0.578184,0.24014848,0.04884376,0.043177247,0.0004788604,0.0
46,0.15048441,0.56710196,0.7370842,0.33490017,0.015699575,0.006330474,0.003472717,0.0
47,0.04993017,0.9961486,0.043908905,0.05569669,0.012320431,0.0035895994,0.0004168567,0.0
48,0.39192444,0.6371264,0.55272126,0.3599522,0.068256274,0.026887603,0.004108393,4.067716e-05
49,0.04769719,0.22682902,0.96840805,0.09186522,0.0038232615,0.002272568,0.0006149302,0.0
50,0.09811844,0.9677811,0.2199169,0.07345969,0.0030993356,0.001767165,0.0,0.0
51,0.097142324,0.61917704,0.7200394,0.2973229,0.012985065,0.012388454,0.0018600228,0.0
52,0.005278565,0.908269,0.08602875,0.4011413,0.0024613533,0.0817881,0.0029951406,0.0
53,0.20399667,0.30881798,0.56399953,0.7369064,0.043198857,0.004048732,0.002785825,0.0
54,0.6056679,0.09872089,0.24391875,0.7508657,0.001842699,0.01102207,0.00017062027,0.0
55,0.6552522,0.37693247,0.62363535,0.1942994,0.04100314,0.014516404,0.0011020306,0.0
56,0.016601047,0.09265054,0.7621025,0.6400832,0.021423697,0.0072648902,0.01103645,0.0
57,0.17720695,0.8633094,0.46762854,0.06741534,0.0047542555,0.0058952766,0.0039935745,0.00012678014
58,0.033451974,0.04134747,0.9946479,0.088581935,0.00027703497,6.925874e-05,0.0,0.0
59,0.58704126,0.7469906,0.09588557,0.1906633,0.08377572,0.21171229,0.000725827,0.0
60,0.1797514,0.96965766,0.122771196,0.11125363,0.000414301,0.00027620065,0.0017400641,0.0
61,0.0084225945,0.01647149,0.7050545,0.70890653,0.0026158912,0.00011498423,0.0007761435,0.0
62,0.54466826,0.79191184,0.1267581,0.18444465,0.16131201,0.010152251,3.625804e-05,0.0
63,0.023602493,0.032017294,0.051284112,0.17907108,0.015982991,0.9815558,0.003745613,0.0
64,0.012122627,0.24667759,0.6071389,0.755178,3.2500342e-05,0.009587601,0.0,0.0
65,0.57923585,0.39838254,0.62774414,0.2478048,0.2210242,0.03814973,0.0004210787,4.210787e-05
66,0.03241953,0.24760456,0.8854407,0.39168087,0.009987358,0.010838016,0.0018903516,0.0009766817
67,0.14425185,0.9765777,0.122335054,0.10246707,0.0030462453,0.00043132677,0.003531488,0.0
68,0.2441595,0.92403877,0.26906672,0.11830925,0.011859087,0.0018148471,0.00078226166,0.0
69,0.12922232,0.96759427,0.09257631,0.18713348,0.03813165,0.044889897,0.0020973864,0.0
70,0.40877664,0.8295563,0.36285987,0.051030498,0.0318186,0.09723139,0.00056818925,0.0
71,0.010865852,0.12598291,0.94560635,0.29967025,0.0028273393,0.0053220503,0.0004435042,0.00011087605
72,0.047619574,0.9677201,0.18103062,0.16875134,0.0,0.0010073895,0.0,0.0
73,0.27105123,0.104189105,0.7509662,0.592879,0.0138733825,0.0043007485,0.0030174607,0.0
74,0.011247872,0.17477944,0.6021361,0.7789464,0.00015622046,0.00043741724,0.0,0.0
75,0.07896794,0.44915202,0.86941177,0.18998174,0.0064028054,0.0039181346,0.00050967606,0.0
76,0.009032928,0.24281293,0.60171694,0.7605595,0.0010109054,0.021098573,0.0,0.0
77,0.6090759,0.008586687,0.2352495,0.7573651,0.002894389,0.00022511915,0.00025727903,0.0
78,0.23995702,0.70204586,0.6257261,0.23855463,0.009300088,0.031701487,0.004391708,7.381022e-05
79,0.31724104,0.79009604,0.09556377,0.40767956,0.30315667,0.08466756,0.02643339,8.071264e-05
80,0.17451446,0.8354479,0.19863041,0.45924664,0.06921686,0.0051064678,0.12803443,3.7273487e-05
81,0.026727736,0.27240828,0.7079329,0.6508891,0.011703864,0.010664266,0.0015426297,0.00080485025
82,0.007292595,0.7128341,0.46042174,0.5289858,0.0,0.00034077547,0.0,0.0
